time	ret	ldp	lep	rf	yield
1996.75	0.0568441742	-3.8308069012	-3.4465089123	0.0501321205	0.0219366191
1997.00	0.0049858971	-3.8401985466	-3.4420953248	0.0515007729	0.0218739481
1997.25	0.1368122495	-3.9670054965	-3.5717117019	0.0501606532	0.0222644578
1997.50	0.0660823277	-4.0310881258	-3.6149652887	0.0488663517	0.0226627097
1997.75	0.0169982920	-4.0402034186	-3.6175583696	0.0517381954	0.0155949316
1998.00	0.1050981420	-4.1282403070	-3.7245712978	0.0500370056	0.0140601514
1998.25	0.0018930984	-4.1276203380	-3.7371397016	0.0491996041	0.0172988649
1998.50	-0.1513847512	-3.9825207898	-3.6143192957	0.0421970487	0.0225454832
1998.75	0.1657261878	-4.1475448401	-3.7911506687	0.0433659559	0.0173402125
1999.00	0.0057499546	-4.1544395902	-3.8245665148	0.0435383020	0.0195291700
1999.25	0.0629554848	-4.1812191264	-3.8755595569	0.0463109029	0.0263824663
1999.50	-0.1007210333	-4.0801411255	-3.7901071163	0.0469217531	0.0272704271
1999.75	0.0855246605	-4.1723832335	-3.9043192184	0.0518996105	0.0230245485
2000.00	-0.0047511960	-4.1612085650	-3.8996662288	0.0565504513	0.0170841859
2000.25	-0.0219196670	-4.1792250953	-3.8449328091	0.0566260499	0.0191380390
2000.50	0.0261737283	-4.2146422448	-3.8070602340	0.0597583644	0.0159224119
2000.75	-0.0253123500	-4.1941022278	-3.7004819352	0.0567961260	0.0135320570
2001.00	-0.1113038034	-4.1204764970	-3.5526907144	0.0418230933	0.0241057592
2001.25	0.0385051414	-4.1794237065	-3.5934222767	0.0356373776	0.0357596448
2001.50	-0.1393008485	-4.0512241196	-3.4233219046	0.0231401887	0.0457445130
2001.75	0.0804444938	-4.1309267252	-3.5148860370	0.0169751042	0.0492791851
2002.00	0.0159453804	-4.1325741805	-3.5080828075	0.0176729101	0.0489259285
2002.25	-0.1184587753	-4.0120199610	-3.3533371116	0.0167292820	0.0476621314
2002.50	-0.1783776040	-3.8480344336	-3.1507153247	0.0152924718	0.0441049722
2002.75	0.0604862119	-3.9042515514	-3.2208326836	0.0118593985	0.0489521206
